"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","1","2.54-1*4P母","2S_IN","HDR-TH_4P-P2.54-V-F","","2.54-1*4P母","BOOMELE(博穆精密)","C2718488","LCSC"
"2","1","ML621-TZ1","B1","BAT-SMD_ML621-TZ1","","ML621-TZ1","FDK","C42387246","LCSC"
"3","10","100nF","C1,C2,C8,C9,C10,C11,C12,C13,C14,C17","C0402","100nF","CC0402KRX7R7BB104","YAGEO(国巨)","C60474","LCSC"
"4","4","1uF","C3,C4,C6,C7","C0603","1uF","CL10A105KO8NNNC","SAMSUNG(三星)","C1592","LCSC"
"5","1","2.2uF","C5","C0402","2.2uF","C0402C225M8PACTU","KEMET(基美)","C2167414","LCSC"
"6","2","SM04B-SRSS-TB(LF)(SN)","CN1,CN2","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN","","SM04B-SRSS-TB(LF)(SN)","JST","C160404","LCSC"
"7","1","SIS412DN-VB","Q1","WDFN-5_L3.1-W3.1-P0.65-BL_1","","SIS412DN-VB","VBsemi(微碧半导体)","C19632157","LCSC"
"8","4","2.2kΩ","R1,R2,R5,R6","R0402","2.2kΩ","0402WGF2201TCE","UNI-ROYAL(厚声)","C25879","LCSC"
"9","6","10kΩ","R3,R4,R10,R11,R14,R15","R0402","10kΩ","0402WGF1002TCE","UNI-ROYAL(厚声)","C25744","LCSC"
"10","1","47kΩ","R7","R0402","47kΩ","0402WGF4702TCE","UNI-ROYAL(厚声)","C25792","LCSC"
"11","2","100kΩ","R8,R12","R0402","100kΩ","0402WGF1003TCE","UNI-ROYAL(厚声)","C25741","LCSC"
"12","2","1kΩ","R9,R13","R0402","1kΩ","0402WGF1001TCE","UNI-ROYAL(厚声)","C11702","LCSC"
"13","1","VEML7700-TR","U1","LED-SMD_4P-L6.8-W2.4_VEML7700-TR","","VEML7700-TR","VISHAY(威世)","C504893","LCSC"
"14","1","DRV2605LDGSR","U2","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL","","DRV2605LDGSR","TI(德州仪器)","C527464","LCSC"
"15","1","SHT40-N-NF","U3","DFN-4_L1.5-W1.5-P0.80-TL-EP","","SHT40-N-NF","Nyfea(徕飞)","C54946589","LCSC"
"16","1","BMM350","U4","WLCSP-9_L1.3-W1.3-R3-C3-P0.40-TL","","BMM350","Bosch(博世)","C17225907","LCSC"
"17","1","LSM6DSOXTR","U5","LGA-14L_L3.0-W2.5-P0.50-TL","","LSM6DSOXTR","ST(意法半导体)","C481766","LCSC"
"18","1","ICS-43434","U6","MIC-SMD_6P-L3.5-W2.7-P0.90-BL","","ICS-43434","TDK InvenSense(应美盛)","C5656610","LCSC"
"19","1","AP2127K-1.8TRG1","U7","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","","AP2127K-1.8TRG1","DIODES(美台)","C151375","LCSC"
"20","1","RV-3028-C7-32.768KHZ-1PPM-TA-QA","U8","OSC-SMD_8P-L3.2-W1.5-P0.90-BL","","RV-3028-C7-32.768KHZ-1PPM-TA-QA","Micro Crystal(瑞士微晶)","C3304278","LCSC"
"21","1","ESP32-S3_SUPERMINI","U9","ESP32-S3_SUPERMINI","","","","","Generic AliExpress"
"22","1","MAX17049G+T10","U11","WSON-8_L2.0-W2.0-P0.50-BL-EP0.9","","MAX17049G+T10","ADI(亚德诺)/MAXIM(美信)","C18185545","LCSC"
